Name,Location,Address,LAT,LON,Rating,Pg Link
Harry Drummond,Lakeside Urgent Care,"2755 Alamo St, Simi Valley, CA, 93065",34.2867333,-118.7428981,4,http://www.vitals.com/doctors/Dr_Harry_Drummond/reviews
Brent Trompetto,Lakeside Urgent Care,"2755 Alamo St, Simi Valley, CA, 93065",34.2867333,-118.7428981,4,http://www.vitals.com/doctors/Dr_Brent_Trompetto/reviews
Sherri Tysch,North Oaks Pediatrics,"425 Haaland Dr, Thousand Oaks, CA, 91361",34.1756026,-118.8698929,4,http://www.vitals.com/doctors/Dr_Sherri_Tysch/reviews
Diana Dermendjian,Lakeside Medical Associates,"191 S Buena Vista St, Burbank, CA, 91505",34.1584843,-118.3291032,4,http://www.vitals.com/doctors/Dr_Diana_Dermendjian/reviews
Susanna Lansangan,Lakeside Medical Associates,"191 S Buena Vista St, Burbank, CA, 91505",34.1584843,-118.3291032,3,http://www.vitals.com/doctors/Dr_Susanna_Lansangan/reviews
Arthur Vatz,Lakeside Medical Associates,"191 S Buena Vista St, Burbank, CA, 91505",34.1584843,-118.3291032,3,http://www.vitals.com/doctors/Dr_Arthur_Vatz/reviews
Antonio Arboleda,Burbank Pediatric Affiliates,"2211 W Magnolia Blvd, Burbank, CA, 91506",34.1731088,-118.3322773,4,http://www.vitals.com/doctors/Dr_Antonio_Arboleda/reviews
Irvin Benowitz,Terrence J Olson MD,"1500 S Central Ave, Glendale, CA, 91204",34.1273551,-118.257317,4,http://www.vitals.com/doctors/Dr_Irvin_Benowitz/reviews
Tedmur Qozi-Habash,Lakeside Medical Associates,"14901 Rinaldi St, Mission Hills, CA, 91345",34.2794267,-118.4573919,4,http://www.vitals.com/doctors/Dr_Tedmur_Qozi-Habash/reviews
Myrna Uytingco,Lakeside Medical Associates,"14901 Rinaldi St, Mission Hills, CA, 91345",34.2794267,-118.4573919,4,http://www.vitals.com/doctors/Dr_Myrna_Uytingco/reviews
Leah Heap,Lakeside Medical Associates,"12660 Riverside Dr, Valley Village, CA, 91607",34.157312,-118.4095133,2,http://www.vitals.com/doctors/Dr_Leah_Heap/reviews
Karen Virley,Lakeside Medical Associates,"12660 Riverside Dr, Valley Village, CA, 91607",34.157312,-118.4095133,4,http://www.vitals.com/doctors/Dr_Karen_Virley/reviews
Tenzing Wangyal,Talbert Medical Group,"9930 Talbert Ave, Fountain Valley, CA, 92708",33.7011242,-117.9555502,5,http://www.vitals.com/doctors/Dr_Tenzing_Wangyal/reviews
Eric Fernandez,Lakeside Medical,"24355 Lyons Ave, Newhall, CA, 91321",34.3790545,-118.560622,4,http://www.vitals.com/doctors/Dr_Eric_Fernandez/reviews
Jerry Garrett,Lakeside Medical Associates,"191 S Buena Vista St, Burbank, CA, 91505",34.1584843,-118.3291032,2,http://www.vitals.com/doctors/Dr_Jerry_Garrett/reviews
Calvin Hung,Lakeside Medical Group,"24355 Lyons Ave, Newhall, CA, 91321",34.3790545,-118.560622,5,http://www.vitals.com/doctors/Dr_Calvin_Hung/reviews
Ruth Karunananthan,Lakeside Community Healthcare,"1500 W West Covina Pkwy, West Covina, CA, 91790",34.0692602,-117.9394331,3,http://www.vitals.com/doctors/Dr_Ruth_Karunananthan/reviews
Adelaide Willis,Lakeside Community Healthcare,"1500 W West Covina Pkwy, West Covina, CA, 91790",34.0692602,-117.9394331,3,http://www.vitals.com/doctors/Dr_Adelaide_Willis/reviews
